Date,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation
21/04/2024,35.0,30.3,27.2,27.2,25.9,25.0,94,78.0,56,13,3.6,0,29.7,29.7,29.6,0.0
22/04/2024,35.0,29.3,26.1,27.2,25.8,25.0,94,82.2,56,12,2.8,0,29.7,29.7,29.6,0.0
23/04/2024,33.9,28.6,26.1,27.8,25.9,25.0,94,86.8,63,16,3.0,0,29.7,29.6,29.6,0.0
24/04/2024,33.9,28.5,26.1,26.1,25.1,22.8,94,83.3,59,13,3.3,0,29.7,29.6,29.6,0.0
25/04/2024,35.0,28.2,25.0,26.1,24.8,23.9,100,83.6,56,10,3.2,0,29.7,29.6,29.6,0.0
26/04/2024,35.0,28.7,26.1,26.1,25.3,23.9,94,83.6,53,12,2.3,0,29.7,29.6,29.6,0.0
27/04/2024,33.9,28.5,26.1,27.2,25.7,25.0,94,84.8,59,7,2.1,0,29.7,29.6,29.6,0.0
28/04/2024,33.9,29.7,26.1,27.2,26.0,25.0,94,80.9,59,9,2.8,0,29.7,29.7,29.6,0.0
29/04/2024,36.1,30.0,27.2,26.1,25.5,23.9,94,77.9,53,9,2.9,0,29.7,29.7,29.6,0.0
30/04/2024,33.9,28.5,26.1,27.2,25.9,25.0,94,86.3,59,14,3.4,0,29.7,29.6,29.6,0.0
