Temp_max(c),Temp_avg(c),Temp_min(c),Dew_max(c),Dew_avg(c),Dew_min(c),Hum_max(%),Hum_avg(%),Hum_min(%),Wind_max(mph),Wind_avg(mph),Wind_min(mph),Pres_max(in),Pres_avg(in),Pres_min(in),Precipitation
0.0,-0.3124999999999997,0.0,0.0,0.30769230769230727,-1.0,0.0,0.40243902439024515,0.7,2.0,-0.07692307692307666,0.0,0.0,0.0,0.0,0.0
-0.35294117647058576,-0.7500000000000011,-1.0,0.0,-0.2307692307692318,-1.0,0.0,0.41463414634146395,0.3,1.0,1.2307692307692313,0.0,0.0,0.0,0.0,0.0
0.6470588235294142,0.3124999999999997,0.0,0.5,0.7692307692307709,1.8333333333333255,0.0,0.23170731707317135,0.3,0.0,0.153846153846154,1.0,-0.10000000000000142,-0.09999999999999787,0.0,0.0
-0.35294117647058576,-0.4375000000000014,0.0,-0.5,-0.5384615384615391,-1.0,-5.0,-0.1341463414634139,0.6,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.0,-0.37500000000000056,0.0,0.5,0.4615384615384609,1.8333333333333255,0.0,0.5853658536585378,1.0,0.6666666666666666,0.0,0.0,-0.10000000000000142,-0.09999999999999787,0.0,0.0
-2.9411764705882404,-1.5,-1.0,0.0,0.0,0.0,6.0,1.3170731707317083,1.8,1.6666666666666667,0.153846153846154,0.0,0.0,0.0,1.0,0.0
0.6470588235294142,0.8124999999999976,1.9999999999999967,0.5,1.0000000000000027,0.0,0.0,-0.17073170731707207,0.3,1.0,0.5384615384615387,0.0,0.0,0.0,0.0,0.0
-0.35294117647058576,0.8124999999999976,1.9999999999999967,0.0,0.0,0.0,-5.0,-0.7317073170731705,0.3,1.0,2.153846153846154,0.0,-0.10000000000000142,-0.09999999999999787,0.0,0.0
0.0,-0.4375000000000014,0.0,0.0,-0.2307692307692318,0.0,0.0,0.20731707317073197,0.3,-1.0,-0.46153846153846134,0.0,-0.10000000000000142,0.0,0.0,0.0
-1.0,-0.18750000000000028,0.0,-0.5,-0.7692307692307709,-1.0,-5.0,-0.4756097560975598,0.6,1.3333333333333333,0.8461538461538467,0.0,-0.10000000000000142,0.0,0.0,0.0
-2.2941176470588283,-0.9374999999999992,0.0,0.0,0.5384615384615391,1.8333333333333255,6.0,1.1341463414634156,1.8,-0.6666666666666666,-0.7692307692307694,0.0,0.0,0.0,0.0,0.0
0.0,0.8124999999999976,1.9999999999999967,0.0,0.6153846153846173,0.0,-5.0,-0.37804878048780405,-0.1,-0.3333333333333333,0.5384615384615387,0.0,0.0,0.10000000000000142,1.0,0.0
0.6470588235294142,0.7499999999999989,1.0,0.9999999999999983,1.1538461538461564,1.8333333333333255,0.0,0.048780487804878724,0.3,-0.3333333333333333,0.8461538461538467,1.0,-0.10000000000000142,0.0,0.0,0.0
-0.35294117647058576,-0.5625000000000008,0.0,0.0,0.0,0.0,0.0,0.4634146341463427,0.3,-0.6666666666666666,-0.6153846153846153,0.0,0.0,0.0,0.0,0.0
0.0,0.4999999999999978,1.0,0.0,-0.5384615384615391,-1.0,-10.0,-0.8780487804878032,-0.1,1.0,1.153846153846154,0.0,-0.10000000000000142,-0.09999999999999787,0.0,0.0
0.6470588235294142,0.5624999999999987,0.0,0.0,0.38461538461538547,0.0,6.0,-0.2682926829268278,-0.4,-0.3333333333333333,0.076923076923077,0.0,-0.10000000000000142,0.0,0.0,0.0
1.2941176470588285,1.3124999999999976,1.9999999999999967,0.5,0.38461538461538547,0.0,-5.0,-0.9512195121951212,-0.7,-0.3333333333333333,0.153846153846154,0.0,0.0,0.0,0.0,0.0
0.6470588235294142,0.3124999999999997,1.0,1.2727272727272714,2.307692307692313,3.6666666666666567,6.0,1.2926829268292688,1.1,1.0,-0.5384615384615383,0.0,0.0,0.0,0.0,0.0
-0.35294117647058576,0.0,0.0,-0.5,-1.6923076923076954,-4.666666666666657,-5.0,-1.341463414634146,-0.7,-1.0,-0.923076923076923,0.0,0.09999999999999787,0.10000000000000142,2.0000000000000355,0.0
0.6470588235294142,0.6874999999999981,0.0,0.0,-0.15384615384615363,-1.0,0.0,-0.7560975609756081,-0.1,-0.3333333333333333,0.307692307692308,0.0,0.0,0.0,0.0,0.0
0.6470588235294142,0.12499999999999944,0.0,0.0,-0.2307692307692318,-1.0,0.0,-0.29268292682926716,-0.4,1.3333333333333333,0.5384615384615387,0.0,0.0,0.0,0.0,0.0
0.0,-0.12500000000000167,0.0,0.9999999999999983,1.4615384615384637,3.6666666666666567,6.0,1.0853658536585369,0.7,0.0,-0.5384615384615383,0.0,0.0,0.0,0.0,0.0
-0.35294117647058576,-1.0625000000000009,-1.0,-0.5,-0.4615384615384636,-1.0,0.0,0.6341463414634148,0.3,-0.6666666666666666,-1.6923076923076923,0.0,0.0,-2.3999999999999986,-296.0000000000063,0.0
1.2941176470588285,-0.5,-1.0,0.0,-0.07692307692307819,-1.0,0.0,0.37804878048780577,-0.7,0.6666666666666666,0.153846153846154,0.0,0.0,0.10000000000000142,0.0,0.0
-1.0,-1.3124999999999998,-1.0,0.0,0.07692307692307546,0.0,6.0,1.1707317073170738,1.0,1.0,-0.46153846153846134,0.0,0.0,0.0,1.0,0.0
0.6470588235294142,0.18749999999999806,-1.0,-0.5,-1.2307692307692346,-4.666666666666657,-5.0,-1.0975609756097557,-1.2,-0.3333333333333333,-0.5384615384615383,0.0,0.0,0.10000000000000142,1.0,0.0
